band_gap,formation_energy_per_atom,full_formula,task_id
0.8489000000000004,-1.2355676414285708,Cd2Rh4O8,mp-14100
3.387,-2.764766784916666,Sr6Ge6O18,mp-17464
0.03230000000000022,-3.3218309621679696,Sm6Ti6Se4O16,mp-18082
5.5021,-3.2354831143668843,Ca8P8O28,mp-17922
3.6153,-2.9158658113571425,Na4Tm4Ge4O16,mp-18629
1.0159000000000002,-2.9509447048336366,Lu4Mn4O14,mp-19153
0.9406,-0.3567487162698413,Na20Sn4P12,mp-18317
4.1465999999999985,-2.7282853225,Ba2Mo2O8,mp-19276
2.9685,-3.194929065833333,Gd2V2O8,mp-22024
4.6815,-1.989500917825,I10F50,mp-23257
5.1147,-1.6809738815211763,Sn1H8N2F6,mp-24113
0.6596,-0.7229455928333332,Na2Ag6O4,mp-27303
4.8099,-1.6673239435864278,Ba4H32O20,mp-28587
0.5853999999999999,-1.1365047116071432,Sr32As24,mp-29424
3.8132,-2.40927677209,Na4Sc4Cl16,mp-29432
0.7490000000000006,-0.2178753315624995,Co8Ge12Te12,mp-2994
1.7509,-0.8095797376160719,K4Au4S20,mp-3592
1.2296999999999998,-3.3855834692508338,Sm2S2F2,mp-3931
2.7849000000000004,-2.696229998214285,Ca4Cr8O16,mp-540582
5.2239,-2.8218634147817463,Nd4Tl4P16O48,mp-540742
0.010299999999999976,-1.9321039063775507,Tl4Cu4P4O16,mp-541201
0.007299999999999973,-1.8184612823863635,V4Cu4O14,mp-542860
2.0249,-1.80409642121638,Cs8K8Te4O20,mp-556400
3.9325,-2.9301035652518177,Ca12W4Cl8O20,mp-558558
2.2622,-2.164855911753167,Rb6Mo24P2O80,mp-560115
0.8801000000000005,-2.9775906237990184,Eu8B20Br4O36,mp-558834
2.7939,-1.2357978355833332,Ti8Br32,mp-569814
0.9520000000000001,-0.6349932076672149,K20Ag8As12Se36,mp-570836
0.10279999999999978,-1.5851989070588235,Pr6Co1Br10,mp-570965
2.2086,-0.6814063150000003,Tl1I1,mp-571102
1.9907,-0.8301407595258623,Cs2Hg4Br10,mp-619510
1.1042999999999998,-1.4528970541176471,Re8Hg20O40,mp-667343
3.0273000000000003,-2.629936111666667,Ba24Ga48O96,mp-680226
0.8472,-0.7274422576631944,K4Sn4Se10,mp-8966
3.9006,-4.0069550435000005,Tb16O24,mp-1056
0.5556000000000001,-0.8737900270312506,Pb1S1,mp-1057015
0.3878999999999997,-0.9457452699999996,Ba4Cd2As4,mp-1079666
1.0051,-1.9465773981423613,Ba2Tb2Ag2S6,mp-1095340
1.2113000000000005,-0.4496790186979176,Sb4Ir4Se4,mp-1095507
1.4061000000000003,-2.4795443960227286,Dy4Pt4O14,mp-1178365
3.3852,-2.2140265706944446,Li2In2W4O16,mp-1190195
1.4119,-1.9006353367753952,Rb2Pd1S8O26,mp-1195322
1.6504000000000003,-2.6158830595567863,La16Mn8Se16O16,mp-1196301
4.8312,-1.1771138534159404,Cs6H24N8F6,mp-1196740
2.2838,-2.373342245723684,V16Cr8O52,mp-1200219
0.7043000000000004,-1.458282528833334,Zr3Tl2Cu2S8,mp-1207410
2.1491,-1.6346076386950001,Nb2Tl2Cl12,mp-1209881
3.1024000000000003,-3.383351212,Nd12Tm8Ga12O48,mp-1210408
2.7388,-1.5324872245,K8La4I20,mp-1212017
2.8911,-2.634282989204546,La4Ga4Ge8O28,mp-1212633
1.3344999999999998,-0.4297622493665851,Cs4Na2Ga2P4,mp-1213705
0.9006999999999996,-0.7301839038541663,As4Ru4S4,mp-1214786
3.8454,-3.3192521929427086,Ba18Dy6B18O54,mp-1214848
1.2357,-0.7943331177698414,Na3Sr3P3,mp-13275
3.0283,-2.32567647432823,Zn8Ag8P24O72,mp-14260
0.5314999999999999,-1.1768432666133866,Rb36Fe8S28,mp-14890
5.4251,-3.8851804207794447,K4Zr6O2F24,mp-17888
1.8267,-2.952153290963869,Rb4Na2Mn6F24,mp-18518
3.2799,-3.061799380659259,Na3Mn3Cr3F18,mp-18641
1.6507,-0.3198929030848213,P4Pb4Se12,mp-20316
0.3814000000000002,-0.3562312352500001,Ge24Ru16,mp-21945
0.3054000000000001,-2.1291423362500006,Ba2Pb2O6,mp-22230
3.3033,-2.1457821446333334,B4Cl4F24,mp-23398
2.4311000000000003,-1.1829306492241376,Rb2I2O8,mp-23450
4.8667,-2.4597398425833337,Nd2H4Cl2O4,mp-24124
2.9329,-2.6040283341075003,Er2S2Cl2,mp-27616
1.2844,-1.5511273666944059,Rb2Pd1Cl6,mp-28145
1.9745,-1.3269490630833332,Na12Au4O8,mp-28365
2.024,-1.4103181215813578,Cs2Sm2Zn2Se6,mp-505709
1.2695,-2.2442638878125,Nd1Bi2I1O4,mp-549333
0.9253,-0.6175397693975002,Hg28Cl8O12,mp-541193
2.1319,-1.5309636687053567,Hg12P4O16,mp-554914
1.8158,-2.1919348821057696,K4V4S8O36,mp-555364
4.3013,-2.828478411953689,Cs2Sb4F14,mp-556583
2.8719,-2.6651696853676468,Sr4V6Bi2O22,mp-556533
0.7049,-1.427023833607,Tl16Os8C8Br16O8F24,mp-556622
2.9664,-2.1544970942049813,Rb4Te2W6O24,mp-567014
1.2191999999999998,-0.8573133945299998,Sr16C4N16,mp-567601
0.1993999999999998,-0.9631830292857142,Pr6Os2I6,mp-570779
4.5412,-2.1299600771980005,Ba8H16O16,mp-626973
2.8561,-0.37838789875,Si8I32,mp-635441
0.049900000000000055,-0.11493527084076448,K49Tl108,mp-640333
4.2653,-1.8171444888947224,Zn2H4S2O10,mp-643066
3.9718,-2.6490856738750006,Li12Al4Ge4O20,mp-6765
1.0651,-1.439449854280228,Cs6Ti6S27,mp-680170
2.8106,-2.5994269807340755,Ti2Tl2W2O10F2,mp-690560
6.8114,-2.273134414662,Al4H16N4F16,mp-696815
1.5754,-1.5513988611111105,Tc2Ag2O8,mp-7206
4.0436,-3.1673574429999998,Na4Dy4O8,mp-752672
2.3593,-2.617560854964,W4O4F12,mp-753398
1.5585,-0.6710471506944659,Rb6Ge2P2Se14,mp-861898
0.5326,-2.4615512633636367,Ba6Na2Ru2O12,mp-9745
4.381900000000001,-2.506708819321429,K1Li6Ta1O6,mp-9059
0.5894000000000004,-0.4662631754101562,Ge12Ir8Se12,mp-975924
0.7050000000000001,-1.076260699375,Nd1Tl1Te2,mp-999319
0.5509000000000004,-2.9463198067500014,Ca4V4O12,mvc-13158
2.4387,-3.2384210808925005,Mg1Mo1F6,mvc-13940
2.1572,-1.2158183183839282,Na8Zn8S12,mp-1094107
0.6513,-1.8061129689,Na2C2O6,mp-1120755
1.3536,-0.6836314883935183,Na1Ti1Cu3Se4,mp-1180119
0.033399999999999874,-0.01729774099999967,Mg149Zr1,mp-1185655
